,,,,,,,,,,,,,I_out_calc,Efficiency__calc
,,,,,,,,,,,,,1.971244,0.708219979
,,,,,,,,,,,,,1.371452,0.636810208
,,,,,,,,,,,,,0.771229,0.504236338
,,,,,,,,,,,,,0.1711,0.18742079
,,,,,,,,,,,,,1.971421,0.709317672
,,,,,,,,,,,,,3.972313,0.808669356
,,,,,,,,,,,,,5.972478,0.842600892
,,,,,,,,,,,,,6.972273,0.848248489
,,,,,,,,,,,,,4.972729,0.828951742
,,,,,,,,,,,,,2.972698,0.773433655
,,,,,,,,,,,,,4.189433307,0.813368777
,,,,,,,,,,,,,6.189476307,0.844582748
,,,,,,,,,,,,,8.189567307,0.853377734
,,,,,,,,,,,,,9.189347307,0.856002197
,,,,,,,,,,,,,7.189775307,0.850091058
,,,,,,,,,,,,,5.189786307,0.832168373
,,,,,,,,,,,,,10.07725731,0.856564069
,,,,,,,,,,,,,12.07738131,0.855037687
,,,,,,,,,,,,,14.07749131,0.849715915
,,,,,,,,,,,,,15.07723331,0.849689326
,,,,,,,,,,,,,13.07768831,0.853262316
,,,,,,,,,,,,,11.07763131,0.856200954
,,,,,,,,,,,,,14.47424045,0.850663275
,,,,,,,,,,,,,16.47429245,0.844259643
,,,,,,,,,,,,,18.47437045,0.837640692
,,,,,,,,,,,,,19.47414645,0.83283834
,,,,,,,,,,,,,17.47460245,0.841675988
,,,,,,,,,,,,,15.47460245,0.846623598
